TimeStamp,open,high,low,close,volume
2006-12-14 04:24:00,1.44055,1.44055,1.44045,1.44045,2
2006-12-14 04:25:00,1.44055,1.44055,1.44055,1.44055,2
2006-12-14 04:27:00,1.44035,1.44035,1.44035,1.44035,2
2006-12-14 04:30:00,1.44065,1.44065,1.44065,1.44065,1
2006-12-14 04:31:00,1.44035,1.44035,1.44035,1.44035,2
2006-12-14 04:33:00,1.44025,1.44025,1.44025,1.44025,2
2006-12-14 04:34:00,1.44045,1.44045,1.44045,1.44045,2
2006-12-14 04:36:00,1.44065,1.44075,1.44065,1.44075,3
2006-12-14 04:37:00,1.44115,1.44115,1.44115,1.44115,1
2006-12-14 04:49:00,1.44075,1.44075,1.44075,1.44075,2
2006-12-14 04:50:00,1.44015,1.44015,1.44015,1.44015,1
2006-12-14 04:56:00,1.44015,1.44015,1.44015,1.44015,1
2006-12-14 05:00:00,1.44025,1.44025,1.44015,1.44015,4
2006-12-14 05:01:00,1.43995,1.43995,1.43995,1.43995,2
2006-12-14 05:02:00,1.43985,1.43985,1.43985,1.43985,1
2006-12-14 05:03:00,1.43985,1.43985,1.43985,1.43985,2
2006-12-14 05:05:00,1.44015,1.44015,1.44015,1.44015,10
2006-12-14 05:12:00,1.44005,1.44005,1.44005,1.44005,1
2006-12-14 05:20:00,1.44025,1.44025,1.44025,1.44025,1
2006-12-14 05:21:00,1.44005,1.44005,1.43995,1.43995,4
2006-12-14 05:22:00,1.44005,1.44005,1.44005,1.44005,3
2006-12-14 05:30:00,1.43995,1.43995,1.43995,1.43995,2
2006-12-14 05:38:00,1.43995,1.43995,1.43995,1.43995,1
2006-12-14 05:39:00,1.43995,1.43995,1.43995,1.43995,1
2006-12-14 05:40:00,1.44015,1.44015,1.44015,1.44015,1
2006-12-14 05:42:00,1.43975,1.43995,1.43975,1.43995,3
2006-12-14 05:43:00,1.43985,1.43985,1.43985,1.43985,2
2006-12-14 05:49:00,1.43985,1.43985,1.43985,1.43985,1
2006-12-14 05:51:00,1.44005,1.44025,1.43995,1.44025,5
2006-12-14 05:59:00,1.43995,1.43995,1.43995,1.43995,1
2006-12-14 06:02:00,1.43995,1.43995,1.43995,1.43995,1
2006-12-14 06:05:00,1.43995,1.43995,1.43995,1.43995,1
2006-12-14 06:06:00,1.43975,1.43975,1.43975,1.43975,1
2006-12-14 06:07:00,1.43935,1.43935,1.43935,1.43935,1
2006-12-14 06:09:00,1.43905,1.43905,1.43895,1.43895,2
2006-12-14 06:10:00,1.43895,1.43895,1.43895,1.43895,6
2006-12-14 06:11:00,1.43865,1.43895,1.43855,1.43895,10
2006-12-14 06:13:00,1.43845,1.43845,1.43845,1.43845,4
2006-12-14 06:14:00,1.43825,1.43825,1.43825,1.43825,2
2006-12-14 06:15:00,1.43815,1.43835,1.43815,1.43835,3
2006-12-14 06:17:00,1.43805,1.43805,1.43805,1.43805,3
2006-12-14 06:18:00,1.43835,1.43835,1.43835,1.43835,1
2006-12-14 06:21:00,1.43845,1.43845,1.43845,1.43845,1
2006-12-14 06:25:00,1.43865,1.43865,1.43865,1.43865,1
2006-12-14 06:26:00,1.43875,1.43875,1.43875,1.43875,1
2006-12-14 06:30:00,1.43795,1.43795,1.43785,1.43785,3
2006-12-14 06:32:00,1.43765,1.43765,1.43755,1.43755,2
2006-12-14 06:33:00,1.43755,1.43755,1.43715,1.43725,4
2006-12-14 06:34:00,1.43735,1.43735,1.43725,1.43725,3
2006-12-14 06:35:00,1.43705,1.43705,1.43675,1.43685,11
2006-12-14 06:36:00,1.43715,1.43735,1.43715,1.43725,6
2006-12-14 06:37:00,1.43735,1.43735,1.43735,1.43735,2
2006-12-14 06:39:00,1.43755,1.43755,1.43755,1.43755,1
2006-12-14 06:40:00,1.43755,1.43755,1.43755,1.43755,1
2006-12-14 06:41:00,1.43755,1.43755,1.43755,1.43755,1
2006-12-14 06:42:00,1.43745,1.43745,1.43745,1.43745,1
2006-12-14 06:46:00,1.43675,1.43685,1.43675,1.43685,2
2006-12-14 06:48:00,1.43675,1.43685,1.43645,1.43645,7
2006-12-14 06:49:00,1.43595,1.43605,1.43585,1.43605,9
2006-12-14 06:51:00,1.43605,1.43605,1.43605,1.43605,3
2006-12-14 06:52:00,1.43605,1.43615,1.43605,1.43615,3
2006-12-14 06:53:00,1.43625,1.43645,1.43625,1.43645,5
2006-12-14 06:54:00,1.43635,1.43635,1.43635,1.43635,1
2006-12-14 06:55:00,1.43645,1.43675,1.43645,1.43675,3
2006-12-14 06:57:00,1.43615,1.43615,1.43615,1.43615,3
2006-12-14 06:58:00,1.43605,1.43605,1.43605,1.43605,1
2006-12-14 07:04:00,1.43635,1.43635,1.43635,1.43635,2
2006-12-14 07:06:00,1.43645,1.43645,1.43645,1.43645,1
2006-12-14 07:11:00,1.43655,1.43675,1.43655,1.43675,5
2006-12-14 07:12:00,1.43675,1.43675,1.43675,1.43675,1
2006-12-14 07:13:00,1.43675,1.43735,1.43675,1.43735,3
2006-12-14 07:22:00,1.43735,1.43735,1.43735,1.43735,1
2006-12-14 07:23:00,1.43705,1.43705,1.43705,1.43705,1
2006-12-14 07:26:00,1.43715,1.43715,1.43715,1.43715,1
2006-12-14 07:28:00,1.43695,1.43695,1.43695,1.43695,1
2006-12-14 07:34:00,1.43645,1.43645,1.43635,1.43635,2
2006-12-14 07:47:00,1.43665,1.43675,1.43665,1.43675,6
2006-12-14 07:48:00,1.43665,1.43665,1.43665,1.43665,4
2006-12-14 07:51:00,1.43675,1.43675,1.43675,1.43675,1
2006-12-14 07:53:00,1.43675,1.43675,1.43655,1.43675,4
2006-12-14 07:54:00,1.43685,1.43685,1.43685,1.43685,1
2006-12-14 07:55:00,1.43675,1.43675,1.43675,1.43675,1
2006-12-14 08:05:00,1.43675,1.43675,1.43675,1.43675,4
2006-12-14 08:16:00,1.43665,1.43675,1.43665,1.43675,16
2006-12-14 08:18:00,1.43655,1.43655,1.43655,1.43655,1
2006-12-14 08:20:00,1.43675,1.43675,1.43675,1.43675,1
2006-12-14 08:23:00,1.43655,1.43655,1.43645,1.43645,4
2006-12-14 08:24:00,1.43635,1.43635,1.43635,1.43635,1
2006-12-14 08:25:00,1.43635,1.43645,1.43635,1.43645,2
2006-12-14 08:28:00,1.43625,1.43625,1.43545,1.43575,8
2006-12-14 08:29:00,1.43525,1.43785,1.43395,1.43785,14
2006-12-14 08:31:00,1.43445,1.43455,1.43445,1.43455,2
2006-12-14 08:32:00,1.43465,1.43485,1.43455,1.43475,7
2006-12-14 08:33:00,1.43455,1.43475,1.43455,1.43475,6
2006-12-14 08:34:00,1.43495,1.43495,1.43465,1.43475,5
2006-12-14 08:35:00,1.43445,1.43445,1.43435,1.43435,7
2006-12-14 08:36:00,1.43435,1.43435,1.43415,1.43435,3
2006-12-14 08:37:00,1.43425,1.43425,1.43425,1.43425,1
2006-12-14 08:39:00,1.43445,1.43455,1.43445,1.43455,4
2006-12-14 08:40:00,1.43455,1.43455,1.43455,1.43455,1
2006-12-14 08:43:00,1.43495,1.43495,1.43485,1.43485,3
2006-12-14 08:44:00,1.43495,1.43515,1.43475,1.43515,11
2006-12-14 08:45:00,1.43505,1.43505,1.43505,1.43505,4
2006-12-14 08:47:00,1.43545,1.43545,1.43545,1.43545,1
2006-12-14 08:49:00,1.43545,1.43545,1.43535,1.43535,2
2006-12-14 08:50:00,1.43555,1.43555,1.43545,1.43545,2
2006-12-14 08:51:00,1.43545,1.43545,1.43545,1.43545,1
2006-12-14 08:55:00,1.43545,1.43545,1.43545,1.43545,1
2006-12-14 08:56:00,1.43545,1.43545,1.43545,1.43545,2
2006-12-14 08:58:00,1.43545,1.43565,1.43545,1.43565,3
2006-12-14 08:59:00,1.43575,1.43645,1.43575,1.43635,7
2006-12-14 09:00:00,1.43625,1.43655,1.43625,1.43655,4
2006-12-14 09:01:00,1.43645,1.43645,1.43645,1.43645,2
2006-12-14 09:02:00,1.43645,1.43665,1.43605,1.43665,9
2006-12-14 09:03:00,1.43675,1.43685,1.43675,1.43685,6
2006-12-14 09:04:00,1.43695,1.43725,1.43685,1.43685,9
2006-12-14 09:05:00,1.43705,1.43745,1.43705,1.43725,5
2006-12-14 09:06:00,1.43705,1.43715,1.43695,1.43695,7
2006-12-14 09:07:00,1.43685,1.43685,1.43685,1.43685,1
2006-12-14 09:08:00,1.43705,1.43705,1.43695,1.43705,3
2006-12-14 09:09:00,1.43695,1.43695,1.43695,1.43695,3
2006-12-14 09:10:00,1.43685,1.43685,1.43685,1.43685,1
2006-12-14 09:11:00,1.43695,1.43695,1.43695,1.43695,1
2006-12-14 09:12:00,1.43715,1.43715,1.43715,1.43715,1
2006-12-14 09:13:00,1.43665,1.43675,1.43665,1.43675,2
2006-12-14 09:15:00,1.43685,1.43685,1.43685,1.43685,2
2006-12-14 09:16:00,1.43665,1.43665,1.43665,1.43665,3
2006-12-14 09:17:00,1.43685,1.43685,1.43685,1.43685,1
2006-12-14 09:18:00,1.43685,1.43685,1.43685,1.43685,2
2006-12-14 09:19:00,1.43705,1.43705,1.43705,1.43705,1
2006-12-14 09:21:00,1.43695,1.43715,1.43695,1.43715,5
2006-12-14 09:26:00,1.43685,1.43685,1.43685,1.43685,1
2006-12-14 09:29:00,1.43665,1.43665,1.43645,1.43655,3
2006-12-14 09:31:00,1.43635,1.43635,1.43635,1.43635,1
2006-12-14 09:32:00,1.43645,1.43655,1.43645,1.43655,2
2006-12-14 09:35:00,1.43645,1.43645,1.43645,1.43645,2
2006-12-14 09:36:00,1.43635,1.43635,1.43635,1.43635,1
2006-12-14 09:37:00,1.43625,1.43625,1.43605,1.43625,5
2006-12-14 09:38:00,1.43635,1.43635,1.43635,1.43635,1
2006-12-14 09:39:00,1.43635,1.43645,1.43635,1.43645,7
2006-12-14 09:40:00,1.43615,1.43615,1.43615,1.43615,1
2006-12-14 09:43:00,1.43625,1.43635,1.43625,1.43625,4
2006-12-14 09:44:00,1.43625,1.43625,1.43605,1.43605,4
2006-12-14 09:45:00,1.43615,1.43615,1.43595,1.43595,2
2006-12-14 09:46:00,1.43585,1.43585,1.43585,1.43585,1
2006-12-14 09:48:00,1.43565,1.43565,1.43565,1.43565,1
2006-12-14 09:49:00,1.43595,1.43595,1.43595,1.43595,2
2006-12-14 09:52:00,1.43555,1.43555,1.43555,1.43555,10
2006-12-14 09:53:00,1.43535,1.43535,1.43515,1.43535,4
2006-12-14 09:54:00,1.43535,1.43535,1.43535,1.43535,1
2006-12-14 09:56:00,1.43505,1.43505,1.43505,1.43505,1
2006-12-14 09:57:00,1.43535,1.43535,1.43515,1.43525,3
2006-12-14 09:58:00,1.43515,1.43525,1.43515,1.43525,2
2006-12-14 09:59:00,1.43525,1.43525,1.43505,1.43505,10
2006-12-14 10:01:00,1.43495,1.43515,1.43495,1.43515,3
2006-12-14 10:09:00,1.43495,1.43505,1.43495,1.43505,2
2006-12-14 10:10:00,1.43535,1.43535,1.43535,1.43535,2
2006-12-14 10:11:00,1.43535,1.43535,1.43525,1.43525,2
2006-12-14 10:13:00,1.43545,1.43555,1.43545,1.43555,3
2006-12-14 10:15:00,1.43575,1.43575,1.43565,1.43565,3
2006-12-14 10:16:00,1.43555,1.43555,1.43555,1.43555,3
2006-12-14 10:22:00,1.43485,1.43485,1.43475,1.43475,2
2006-12-14 10:23:00,1.43485,1.43485,1.43485,1.43485,1
2006-12-14 10:24:00,1.43465,1.43485,1.43465,1.43475,4
2006-12-14 10:26:00,1.43445,1.43445,1.43355,1.43355,17
2006-12-14 10:27:00,1.43345,1.43355,1.43315,1.43345,13
2006-12-14 10:28:00,1.43315,1.43335,1.43305,1.43335,6
2006-12-14 10:29:00,1.43335,1.43335,1.43305,1.43305,13
2006-12-14 10:30:00,1.43295,1.43295,1.43275,1.43275,9
2006-12-14 10:32:00,1.43225,1.43225,1.43215,1.43215,5
2006-12-14 10:33:00,1.43225,1.43255,1.43225,1.43245,44
2006-12-14 10:35:00,1.43285,1.43285,1.43225,1.43225,41
2006-12-14 10:36:00,1.43275,1.43275,1.43275,1.43275,2
2006-12-14 10:37:00,1.43275,1.43275,1.43275,1.43275,1
2006-12-14 10:38:00,1.43275,1.43275,1.43275,1.43275,1
2006-12-14 10:39:00,1.43235,1.43245,1.43235,1.43245,4
2006-12-14 10:40:00,1.43235,1.43235,1.43235,1.43235,1
2006-12-14 10:41:00,1.43245,1.43245,1.43235,1.43235,4
2006-12-14 10:43:00,1.43275,1.43285,1.43275,1.43285,2
2006-12-14 10:44:00,1.43295,1.43295,1.43295,1.43295,1
2006-12-14 10:47:00,1.43275,1.43275,1.43275,1.43275,2
2006-12-14 10:48:00,1.43285,1.43285,1.43285,1.43285,2
2006-12-14 10:49:00,1.43295,1.43295,1.43295,1.43295,1
2006-12-14 10:50:00,1.43295,1.43295,1.43285,1.43285,3
2006-12-14 10:52:00,1.43345,1.43375,1.43345,1.43375,4
2006-12-14 10:53:00,1.43385,1.43385,1.43375,1.43375,3
2006-12-14 10:54:00,1.43385,1.43385,1.43385,1.43385,2
2006-12-14 10:55:00,1.43395,1.43435,1.43395,1.43415,11
2006-12-14 10:56:00,1.43395,1.43395,1.43395,1.43395,1
2006-12-14 10:57:00,1.43395,1.43425,1.43395,1.43425,2
2006-12-14 10:59:00,1.43405,1.43465,1.43405,1.43455,5
2006-12-14 11:00:00,1.43455,1.43475,1.43455,1.43475,2
2006-12-14 11:02:00,1.43455,1.43455,1.43455,1.43455,3
2006-12-14 11:03:00,1.43495,1.43525,1.43495,1.43525,3
2006-12-14 11:04:00,1.43505,1.43505,1.43505,1.43505,2
2006-12-14 11:05:00,1.43465,1.43475,1.43435,1.43445,4
2006-12-14 11:10:00,1.43435,1.43435,1.43425,1.43435,3
2006-12-14 11:11:00,1.43445,1.43445,1.43445,1.43445,1
2006-12-14 11:12:00,1.43475,1.43475,1.43475,1.43475,2
2006-12-14 11:14:00,1.43435,1.43455,1.43435,1.43445,3
2006-12-14 11:15:00,1.43415,1.43435,1.43415,1.43435,4
2006-12-14 11:20:00,1.43415,1.43425,1.43415,1.43425,2
2006-12-14 11:21:00,1.43395,1.43395,1.43365,1.43365,8
2006-12-14 11:22:00,1.43355,1.43355,1.43345,1.43345,2
2006-12-14 11:23:00,1.43335,1.43335,1.43335,1.43335,2
2006-12-14 11:24:00,1.43335,1.43335,1.43335,1.43335,1
2006-12-14 11:25:00,1.43325,1.43325,1.43325,1.43325,7
2006-12-14 11:27:00,1.43295,1.43295,1.43295,1.43295,2
2006-12-14 11:28:00,1.43365,1.43365,1.43365,1.43365,1
2006-12-14 11:29:00,1.43395,1.43395,1.43375,1.43375,2
2006-12-14 11:30:00,1.43375,1.43375,1.43355,1.43365,4
